"delv_plt","material","ship_to","qty"
2871,"S10_1678","Land of Toys Inc.",30
2765.9,"S10_1678","Reims Collectables",34
3884.34,"S10_1678","Lyon Souveniers",41
3746.7,"S10_1678","Toys4GrownUps.com",45
5205.27,"S10_1678","Corporate Gift Ideas Co.",49
3479.76,"S10_1678","Technics Stores Inc.",36
2497.77,"S10_1678","Daedalus Designs Imports",29
5512.32,"S10_1678","Herkku Gifts",48
2168.54,"S10_1678","Mini Wheels Co.",22
4708.44,"S10_1678","Auto Canal Petit",41
3965.66,"S10_1678","Australian Collectors, Co.",37
2333.12,"S10_1678","Vitachrome Inc.",23
3188.64,"S10_1678","Tekni Collectables Inc.",28
3676.76,"S10_1678","Gift Depot Inc.",34
4177.35,"S10_1678","La Rochelle Gifts",45
4099.68,"S10_1678","Marta's Replicas Co.",36
2597.39,"S10_1678","Toys of Finland, Co.",23
4394.38,"S10_1678","Baane Mini Imports",41
4358.04,"S10_1678","Diecast Classics Inc.",46
4396.14,"S10_1678","Land of Toys Inc.",42
7737.93,"S10_1678","Salzburg Collectables",41
1451,"S10_1678","Souveniers And Things Co.",20
733.11,"S10_1678","La Rochelle Gifts",21
3207.12,"S10_1678","FunGiftIdeas.com",42
2434.56,"S10_1678","UK Collectables, Ltd.",24
7516.08,"S10_1678","Euro Shopping Channel",66
5404.62,"S10_1949","Baane Mini Imports",26
7209.11,"S10_1949","Volvo Model Replicas, Co",29
7329.06,"S10_1949","Corrida Auto Replicas, Ltd",38
7374.1,"S10_1949","Technics Stores Inc.",37
10993.5,"S10_1949","Dragon Souveniers, Ltd.",45
4860.24,"S10_1949","Classic Legends Inc.",21
8014.82,"S10_1949","Australian Gift Network, Co",34
5372.57,"S10_1949","Classic Gift Ideas, Inc",23
7290.36,"S10_1949","Saveley & Henriot, Co.",42
9064.89,"S10_1949","Canadian Gift Exchange Network",47
6075.3,"S10_1949","West Coast Collectables Co.",35
6463.23,"S10_1949","Cambridge Collectables Co.",29
6120.34,"S10_1949","Super Scale Inc.",34
7680.64,"S10_1949","Tokyo Collectables, Ltd",32
4905.39,"S10_1949","Souveniers And Things Co.",21
8014.82,"S10_1949","Amica Models & Co.",34
7136.19,"S10_1949","Scandinavian Gift Ideas",37
10172.7,"S10_1949","Auto Assoc. & Cie.",47
11623.7,"S10_1949","Mini Gifts Distributors Ltd.",48
6000.4,"S10_1949","Online Diecast Creations Co.",40
3003,"S10_1949","Mini Wheels Co.",26
3944.7,"S10_1949","Australian Collectors, Co.",30
5691.84,"S10_1949","Mini Gifts Distributors Ltd.",32
4514.92,"S10_1949","Collectables For Less Inc.",41
8254.8,"S10_1949","Corporate Gift Ideas Co.",36
2416.56,"S10_1949","Anna's Decorations, Ltd",24
4140.23,"S10_1949","Quebec Home Shopping Network",23
12001,"S10_1949","Euro Shopping Channel",50
3896.49,"S10_2016","Land of Toys Inc.",39
2793.86,"S10_2016","Australian Collectors, Co.",29
3307.77,"S10_2016","Lyon Souveniers",27
5192.95,"S10_2016","Toys4GrownUps.com",37
5016.83,"S10_2016","Corporate Gift Ideas Co.",37
3660.93,"S10_2016","Technics Stores Inc.",27
4695.6,"S10_2016","Daedalus Designs Imports",42
3660.92,"S10_2016","Herkku Gifts",38
3025.92,"S10_2016","Mini Wheels Co.",24
3009.09,"S10_2016","Osaka Souveniers Co.",23
5422.39,"S10_2016","Australian Collectors, Co.",47
2852.08,"S10_2016","Motor Mint Distributors Inc.",22
5756.52,"S10_2016","Tekni Collectables Inc.",44
4472,"S10_2016","Gift Depot Inc.",40
2904.44,"S10_2016","La Rochelle Gifts",22
6484.59,"S10_2016","Marta's Replicas Co.",47
3757.26,"S10_2016","Atelier graphique",39
4043.96,"S10_2016","Mini Classics",34
5566.5,"S10_2016","Diecast Classics Inc.",45
3176,"S10_2016","Land of Toys Inc.",20
2756.8,"S10_2016","Tokyo Collectables, Ltd",40
1329.9,"S10_2016","Souveniers And Things Co.",26
5288.01,"S10_2016","Australian Gift Network, Co",39
2225.5,"S10_2016","FunGiftIdeas.com",50
5833.8,"S10_2016","Auto Canal Petit",45
5887.35,"S10_2016","Euro Shopping Channel",45
6065.55,"S10_4698","Land of Toys Inc.",27
9264.86,"S10_4698","Australian Collectors, Co.",46
7023.98,"S10_4698","Lyon Souveniers",31
5176.38,"S10_4698","Toys4GrownUps.com",33
4132.7,"S10_4698","Corporate Gift Ideas Co.",22
4183,"S10_4698","Technics Stores Inc.",20
8892.9,"S10_4698","Daedalus Designs Imports",41
8714.7,"S10_4698","Herkku Gifts",45
8065.89,"S10_4698","Mini Wheels Co.",49
6123.4,"S10_4698","Osaka Souveniers Co.",34
9774.03,"S10_4698","Australian Collectors, Co.",49
7023.9,"S10_4698","Vitachrome Inc.",39
7078.23,"S10_4698","Tekni Collectables Inc.",43
8336.94,"S10_4698","Gift Depot Inc.",41
6901.92,"S10_4698","La Rochelle Gifts",36
5438.07,"S10_4698","Marta's Replicas Co.",27
6683.34,"S10_4698","Toys of Finland, Co.",29
4570.4,"S10_4698","Mini Classics",20
